number,directory_num,language_num,file_type,has_test,has_feature,has_bug,has_document,has_improve,has_refactor,subject_length,subject_readability,message_length,message_readability,lines_added,lines_deleted,segs_added,segs_deleted,segs_updated,files_added,files_deleted,files_updated,modify_proportion,modify_entropy,test_churn,non_test_churn,reviewer_num,bot_reviewer_num,has_reviewed,comment_num,comment_length,last_comment_mention,merged,time_to_close
79,0.0014189428875487,0.3333333333333333,0.0,0,0,0,0,0,0,0.25,0.1955519158656954,0.0,0.0676157798603642,2.300472363658672e-05,2.9748624126134164e-05,0.0006605019815059,0.0007736943907156,0.0007126313914127,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,0.0002217393232515,0.2307692307692307,0.0,1,0.1333333333333333,0.0205318204623519,0,0,0.0
81,0.0007094714437743,0.3333333333333333,0.0476190476190476,0,0,0,0,0,0,0.2965116279069767,0.19408646179044,0.0251351808043257,0.0863078472542291,9.968713575854242e-05,0.0,0.0013210039630118,0.0,0.0007126313914127,0.0068965517241379,0.0,0.0012062726176115,0.0048631891145817,0.9951108127679968,0.0,0.0005321743758038,0.0769230769230769,0.0,1,0.0333333333333333,0.0033962409787349,0,0,0.0
86,0.0003547357218871,0.0,0.0,0,0,0,0,0,0,0.0988372093023255,0.1855092452911512,0.0297820209530246,0.1148153838275208,7.668241212195571e-06,9.916208042044722e-06,0.0003302509907529,0.0003868471953578,0.0003563156957063,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,4.4347864650317085e-05,0.0769230769230769,0.0,1,0.0333333333333333,0.0003473428273706,0,1,0.0163888888888888
88,0.0010642071656615,0.0,0.0476190476190476,1,0,0,0,0,0,0.0872093023255814,0.2263264514460583,0.0,0.0676157798603642,9.968713575854242e-05,6.941345629431305e-05,0.0003302509907529,0.0003868471953578,0.0003563156957063,0.0068965517241379,0.0,0.0,0.0048631891145817,0.9951078676812246,0.0,0.000842609428356,0.2307692307692307,0.0,1,0.2,0.0699316892439504,0,1,1.9166666666666667
89,0.0014189428875487,0.3333333333333333,0.0476190476190476,1,0,0,0,0,0,0.0988372093023255,0.2513253739062971,0.0274586008786752,0.0890049674809238,0.0001150236181829,9.916208042044722e-06,0.0006605019815059,0.0003868471953578,0.0005344735435595,0.0068965517241379,0.0,0.0012062726176115,0.0048631891145817,0.9950892157468216,0.0,0.0006652179697547,0.1538461538461538,0.0,1,0.0666666666666666,0.0016981204893674,0,1,0.565
91,0.0024831500532103,0.3333333333333333,0.0,0,0,0,0,0,0,0.1453488372093023,0.2082237834576095,0.0,0.0676157798603642,5.3677688485369e-05,3.966483216817889e-05,0.0013210039630118,0.0019342359767891,0.0016034206306787,0.0,0.0,0.0024125452352231,0.004114756862667,0.9950846115530516,0.0,0.0005321743758038,0.0769230769230769,0.0,1,0.0333333333333333,0.0003473428273706,0,1,6.037222222222222
93,0.0060305072720822,0.3333333333333333,0.0,1,0,0,0,0,0,0.2441860465116279,0.2721003405025645,0.0080263602568435,0.0956624161417524,5.3677688485369e-05,0.0,0.0019815059445178,0.0015473887814313,0.0017815784785319,0.0,0.0,0.0048250904704463,0.0011726438723815,0.9950261716747923,0.0,0.0012417402102088,0.4615384615384615,0.0,1,0.4,0.1335340203002585,0,0,0.0
94,0.0028378857750975,0.3333333333333333,0.0,1,0,0,0,0,0,0.1860465116279069,0.2457221671479677,0.0041821561338289,0.0877076185111213,9.968713575854242e-05,9.916208042044722e-06,0.0006605019815059,0.0003868471953578,0.0005344735435595,0.0068965517241379,0.0,0.0012062726176115,0.0048631891145817,0.9950915135834814,0.0,0.0005765222404541,0.3076923076923077,0.0,1,0.2333333333333333,0.0396356759677357,0,1,1.7130555555555556
97,0.0010642071656615,0.3333333333333333,0.0,0,0,0,0,0,0,0.2790697674418604,0.2025774751088315,0.0,0.0676157798603642,2.300472363658672e-05,9.916208042044722e-06,0.0009907529722589,0.0003868471953578,0.0007126313914127,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,0.0001330435939509,0.0769230769230769,0.0,1,0.0333333333333333,0.0133919956775114,0,0,0.0
98,0.0007094714437743,0.3333333333333333,0.0,0,0,0,0,0,0,0.1627906976744186,0.2332227059178483,0.0,0.0676157798603642,7.668241212195571e-06,9.916208042044722e-06,0.0003302509907529,0.0003868471953578,0.0003563156957063,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,4.4347864650317085e-05,0.0,0.0,0,0.0,0.0,0,1,0.0261111111111111
101,0.0024831500532103,0.3333333333333333,0.0,0,0,0,0,0,0,0.4011627906976744,0.2489547864316193,0.011659344373099,0.0954063604240282,3.0672964848782285e-05,3.966483216817889e-05,0.0009907529722589,0.0011605415860735,0.0010689470871191,0.0,0.0,0.0024125452352231,0.0048631891145817,0.99510200276816,0.0,0.0003104350525522,0.1538461538461538,0.0,1,0.1,0.0104974721160896,0,1,0.2780555555555555
103,0.0007094714437743,0.3333333333333333,0.0,0,0,0,0,0,0,0.1104651162790697,0.21050816775139,0.0028303480905711,0.0900462607330021,2.300472363658672e-05,2.9748624126134164e-05,0.0009907529722589,0.0011605415860735,0.0010689470871191,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,0.0002217393232515,0.0769230769230769,0.0,1,0.0333333333333333,0.0003473428273706,0,1,9.79888888888889
104,0.0152536360411493,0.3333333333333333,0.1428571428571428,1,0,0,0,0,0,0.1220930232558139,0.2272746864359294,0.0157147685028725,0.0911899762721701,0.000237715477578,9.916208042044722e-05,0.0042932628797886,0.0038684719535783,0.0040976305006235,0.0137931034482758,0.0,0.0108564535585042,0.0017952911450214,0.9951872969603786,0.0,0.0048782651115348,0.4615384615384615,0.0,1,0.7333333333333333,0.1888387171471575,0,0,0.0
106,0.0039020929407591,0.3333333333333333,0.0,0,0,0,0,0,0,0.0988372093023255,0.1937847506572992,0.0011828320378506,0.0849422167597002,3.8341206060977856e-05,5.949724825226833e-05,0.0013210039630118,0.0015473887814313,0.0014252627828255,0.0,0.0,0.0048250904704463,0.0048631891145817,0.9951557361729386,0.0,0.0004434786465031,0.0,0.0,0,0.0,0.0,0,0,0.0
112,0.0007094714437743,0.3333333333333333,0.0,0,0,0,0,0,0,0.1511627906976744,0.2207232446877289,0.0,0.0676157798603642,7.668241212195571e-06,9.916208042044722e-06,0.0003302509907529,0.0003868471953578,0.0003563156957063,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,4.4347864650317085e-05,0.1538461538461538,0.0,1,0.0666666666666666,0.0089537262166647,0,1,0.0302777777777777
114,0.0007094714437743,0.3333333333333333,0.0,0,0,0,0,0,0,0.3255813953488372,0.2422740399120727,0.0,0.0676157798603642,7.668241212195571e-06,9.916208042044722e-06,0.0003302509907529,0.0003868471953578,0.0003563156957063,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,4.4347864650317085e-05,0.0769230769230769,0.0,1,0.0333333333333333,0.0003473428273706,0,1,0.0625
115,0.0102873359347286,0.3333333333333333,0.0,0,0,0,0,0,0,0.1686046511627907,0.1851644325675617,0.0011405880364988,0.0721223604923097,0.0002530519600024,0.0001983241608408,0.0,0.0015473887814313,0.0007126313914127,0.0,0.0,0.0048250904704463,0.0048631891145817,0.9951156790698712,0.0,0.0023060889618164,0.0769230769230769,0.0,1,0.0333333333333333,0.0029331172089074,0,0,0.0
116,0.0007094714437743,0.3333333333333333,0.0,0,0,0,0,0,0,0.0465116279069767,0.1387871212447739,0.001309564041906,0.0733343575562042,2.300472363658672e-05,2.9748624126134164e-05,0.0006605019815059,0.0011605415860735,0.0008907892392659,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,0.0002217393232515,0.0769230769230769,0.0,1,0.0333333333333333,0.0028559299139361,0,1,0.1191666666666666
117,0.0010642071656615,0.3333333333333333,0.0,0,0,0,0,0,0,0.1686046511627907,0.2937804404982543,0.0,0.0676157798603642,1.5336482424391142e-05,1.9832416084089444e-05,0.0006605019815059,0.0007736943907156,0.0007126313914127,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,0.0001330435939509,0.0769230769230769,0.0,1,0.0333333333333333,0.0003473428273706,0,1,0.015
120,0.0014189428875487,0.3333333333333333,0.0,1,0,0,0,0,0,0.2674418604651162,0.2516701866298866,0.0017320040554241,0.0958843310971133,1.5336482424391142e-05,0.0,0.0003302509907529,0.0,0.0001781578478531,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,4.4347864650317085e-05,0.0,0.0,0,0.0,0.0,0,1,0.0727777777777777
121,0.0028378857750975,0.3333333333333333,0.0,1,0,0,0,0,0,0.2383720930232558,0.1955519158656954,0.0019854680635349,0.0964135129137433,7.668241212195571e-06,9.916208042044722e-06,0.0006605019815059,0.0003868471953578,0.0005344735435595,0.0,0.0,0.0024125452352231,0.0024307842958589,0.9950632530462932,0.0,0.0001330435939509,0.0769230769230769,0.0,1,0.0333333333333333,0.0003473428273706,0,1,0.0655555555555555
122,0.1358637814827953,0.3333333333333333,0.0,1,0,0,0,0,0,0.0755813953488372,0.2013275289858195,0.0091669482933423,0.0794796947815844,0.0007361511563707,0.0009519559720362,0.0,0.037137330754352,0.017103153393907,0.0,0.0,0.1158021712907116,0.0048631891145817,0.9953777758439808,0.0,0.0084704421482105,0.0769230769230769,0.0,1,0.0333333333333333,0.0003473428273706,0,1,3.0927777777777776
128,0.0053210358283079,0.3333333333333333,0.0,1,0,0,0,0,0,0.4244186046511627,0.3351579673289944,0.0,0.0676157798603642,7.668241212195571e-06,9.916208042044722e-06,0.0016512549537648,0.0019342359767891,0.0017815784785319,0.0,0.0,0.0048250904704463,0.000809181083377,0.9948361415753156,0.0,0.0004878265111534,0.0769230769230769,0.0,1,0.0333333333333333,0.0045154567558179,0,0,0.0
136,0.0007094714437743,0.3333333333333333,0.0,0,0,0,0,0,0,0.2383720930232558,0.2832205508383259,0.0096316323082122,0.0900633311141837,1.5336482424391142e-05,0.0,0.0006605019815059,0.0,0.0003563156957063,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,4.4347864650317085e-05,0.0769230769230769,0.0,1,0.0333333333333333,0.0003473428273706,0,1,4.786944444444444
139,0.0007094714437743,0.3333333333333333,0.0,0,0,0,0,0,0,0.7383720930232558,0.2586957458730227,0.0,0.0676157798603642,7.668241212195571e-06,9.916208042044722e-06,0.0003302509907529,0.0003868471953578,0.0003563156957063,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,4.4347864650317085e-05,0.0769230769230769,0.0,1,0.0333333333333333,0.0047856122882173,0,0,0.0
142,0.0070947144377438,0.3333333333333333,0.0,1,0,0,0,0,0,0.25,0.2434377828541873,0.0,0.0676157798603642,0.0068400711612784,0.004670533987803,0.010898282694848,0.0112185686653771,0.0110457865668982,0.0068965517241379,0.0,0.0024125452352231,0.0047652633993779,0.9951069607246884,0.0,0.0616435318639407,0.0,0.0,0,0.0,0.0,0,0,0.0
144,0.0099326002128414,0.3333333333333333,0.0,1,0,0,0,0,0,0.25,0.2434377828541873,0.0,0.0676157798603642,0.0067633887491564,0.004670533987803,0.011228533685601,0.0119922630560928,0.0115802601104578,0.0068965517241379,0.0,0.0036188178528347,0.0046898174240099,0.9951099253020264,0.0,0.0621757062397445,0.2307692307692307,0.0,1,0.1666666666666666,0.0179074524333294,0,1,34.488055555555555
147,0.0017736786094359,0.3333333333333333,0.0,0,0,0,0,0,0,0.1860465116279069,0.2221024955820869,0.0003801960121662,0.0450658063194551,7.668241212195571e-06,0.0,0.0006605019815059,0.0003868471953578,0.0005344735435595,0.0,0.0,0.0024125452352231,0.0016199826896179,0.9949677254566816,0.0,8.869572930063417e-05,0.0769230769230769,0.0,1,0.0333333333333333,0.0003473428273706,0,1,0.1438888888888889
151,0.0007094714437743,0.0,0.0,0,0,0,0,0,0,0.0581395348837209,0.1354682987802249,0.0008448800270361,0.0801112988853041,7.668241212195571e-06,9.916208042044722e-06,0.0003302509907529,0.0003868471953578,0.0003563156957063,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,4.4347864650317085e-05,0.0769230769230769,0.0,1,0.0333333333333333,0.0003473428273706,0,1,2.9833333333333334
153,0.0007094714437743,0.0,0.0,0,0,0,0,0,0,0.1860465116279069,0.1976638937976811,0.0,0.0676157798603642,7.668241212195571e-06,9.916208042044722e-06,0.0003302509907529,0.0003868471953578,0.0003563156957063,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,4.4347864650317085e-05,0.0769230769230769,0.0,1,0.0333333333333333,0.0003473428273706,0,1,1.3388888888888888
155,0.0039020929407591,0.3333333333333333,0.0,0,0,0,0,0,0,0.1337209302325581,0.2763242963665359,0.0,0.0676157798603642,2.300472363658672e-05,9.916208042044722e-06,0.0013210039630118,0.0019342359767891,0.0016034206306787,0.0,0.0,0.0048250904704463,0.0016199826896179,0.9950839746222828,0.0,0.0004878265111534,0.4615384615384615,0.0,1,0.3333333333333333,0.0396742696152213,0,0,0.0
156,0.0007094714437743,0.0,0.0,0,0,0,0,0,0,0.127906976744186,0.1957243222274901,0.0,0.0676157798603642,7.668241212195571e-06,9.916208042044722e-06,0.0003302509907529,0.0003868471953578,0.0003563156957063,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,4.4347864650317085e-05,0.0,0.0,0,0.0,0.0,0,1,0.1883333333333333
160,0.0017736786094359,0.3333333333333333,0.0,0,0,0,0,0,0,0.3488372093023256,0.383216240679281,0.0029148360932747,0.0773971082774278,0.0003220661309122,0.0004858941940601,0.0042932628797886,0.004642166344294,0.0044539461963299,0.0,0.0,0.0024125452352231,0.004658355024584,0.9950727171947864,0.0,0.0041686992771298,0.1538461538461538,0.0,1,0.1,0.0044768631083323,0,1,0.6283333333333333
161,0.0007094714437743,0.3333333333333333,0.0,0,0,0,0,0,0,0.191860465116279,0.4013189086677298,0.0005914160189253,0.0747853399566412,0.0001150236181829,0.0001586593286727,0.0006605019815059,0.0003868471953578,0.0005344735435595,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,0.0013304359395095,0.2307692307692307,0.0,1,0.1333333333333333,0.0265910231175948,0,0,0.0
162,0.0007094714437743,0.3333333333333333,0.0,0,0,1,0,0,0,0.191860465116279,0.4013189086677298,0.0011405880364988,0.0775166009456991,7.668241212195571e-06,9.916208042044722e-06,0.0003302509907529,0.0003868471953578,0.0003563156957063,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,4.4347864650317085e-05,0.0,0.0,0,0.0,0.0,0,1,0.2388888888888889
163,0.0315714792479602,0.3333333333333333,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0676157798603642,0.0004370897490951,0.0005354752342704,0.0181638044914134,0.0216634429400386,0.0197755211117049,0.0,0.0,0.0349819059107358,0.0045361430885349,0.9952894115715116,0.0,0.0052330480287374,0.1538461538461538,0.0,1,0.0666666666666666,0.0015051522519393,0,1,0.9091666666666668
164,0.0014189428875487,0.3333333333333333,0.0,1,0,0,0,0,0,0.0872093023255814,0.1772768415154519,0.0,0.0676157798603642,2.300472363658672e-05,2.9748624126134164e-05,0.0009907529722589,0.0011605415860735,0.0010689470871191,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,0.0002217393232515,0.0769230769230769,0.0,1,0.0333333333333333,0.0003473428273706,0,1,0.0205555555555555
170,0.0028378857750975,0.3333333333333333,0.0,1,0,0,0,0,0,0.3604651162790697,0.2248609973708029,0.0068857722203447,0.0900633311141837,0.0007514876387951,0.0003074024493033,0.0026420079260237,0.0027079303675048,0.0026723677177979,0.0,0.0,0.0024125452352231,0.0048631891145817,0.9951081421986462,0.0,0.0056765266752405,0.0769230769230769,0.0,1,0.0666666666666666,0.0132376210875689,0,0,0.0
173,0.0007094714437743,0.3333333333333333,0.0,0,0,0,0,0,0,0.3313953488372093,0.2001206844532563,0.0373436971949983,0.0867858179273143,0.0015183117600147,0.0018344984877782,0.0029722589167767,0.0038684719535783,0.0033849991092107,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,0.0169408842964211,0.3846153846153846,0.0,1,0.1666666666666666,0.0437266026012118,0,0,0.0
183,0.0152536360411493,0.3333333333333333,0.0,0,0,0,0,0,0,0.0755813953488372,0.2013275289858195,0.02990875295708,0.1150543691640634,7.668241212195571e-06,9.916208042044722e-06,0.0072655217965653,0.0081237911025145,0.0076607874576875,0.0,0.0,0.0132689987937273,8.014098364778585e-05,0.985388230117104,0.0,0.0052330480287374,0.0769230769230769,0.0,1,0.0333333333333333,0.0008104665971981,0,1,0.2769444444444444
184,0.0007094714437743,0.3333333333333333,0.0,0,0,0,0,0,0,0.25,0.2434377828541873,0.0,0.0676157798603642,7.668241212195571e-06,9.916208042044722e-06,0.0003302509907529,0.0003868471953578,0.0003563156957063,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,4.4347864650317085e-05,0.0769230769230769,0.0,1,0.0333333333333333,0.0003473428273706,0,1,0.1786111111111111
185,0.0007094714437743,0.3333333333333333,0.0,0,0,0,0,0,0,0.2965116279069767,0.2268005689409939,0.0,0.0676157798603642,7.668241212195571e-06,9.916208042044722e-06,0.0003302509907529,0.0003868471953578,0.0003563156957063,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,4.4347864650317085e-05,0.0,0.0,0,0.0,0.0,0,1,0.0902777777777777
186,0.0024831500532103,0.3333333333333333,0.0,0,0,0,0,0,0,0.3430232558139535,0.2275763975690702,0.0340064210882054,0.1085846946962325,0.0002453837187902,0.0003173186573454,0.0158520475561426,0.018568665377176,0.017103153393907,0.0,0.0,0.0024125452352231,0.0018516402914011,0.995000601380549,0.0,0.0074060933966029,0.1538461538461538,0.0,1,0.1,0.0646057658909343,0,1,5.417222222222223
189,0.0007094714437743,0.3333333333333333,0.0,0,0,0,0,0,0,0.2441860465116279,0.2351622774880393,0.0,0.0676157798603642,7.668241212195571e-06,9.916208042044722e-06,0.0003302509907529,0.0003868471953578,0.0003563156957063,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,4.4347864650317085e-05,0.0,0.0,0,0.0,0.0,0,1,0.0236111111111111
193,0.0039020929407591,0.3333333333333333,0.0,1,0,0,0,0,0,0.2732558139534883,0.2347743631740011,0.0,0.0676157798603642,0.0003067296484878,0.0,0.0009907529722589,0.0,0.0005344735435595,0.0,0.0,0.0036188178528347,0.0048631891145817,0.9951076030204844,0.0,0.0017295667213623,0.2307692307692307,0.0,1,0.1333333333333333,0.0101887229362047,1,0,0.0
195,0.0010642071656615,0.3333333333333333,0.0,0,0,0,0,0,0,0.1395348837209302,0.1821042196457049,0.0012673200405542,0.0800430173605776,1.5336482424391142e-05,9.916208042044722e-06,0.0009907529722589,0.0011605415860735,0.0010689470871191,0.0,0.0,0.0024125452352231,0.0009713414046252,0.994746785315774,0.0,0.0006208701051044,0.0769230769230769,0.0,1,0.0333333333333333,0.0003473428273706,0,1,5.288611111111111
200,0.0007094714437743,0.3333333333333333,0.0,0,0,0,0,0,0,0.2441860465116279,0.183052454635576,0.0177424805677593,0.0851129205715163,7.668241212195571e-06,9.916208042044722e-06,0.0003302509907529,0.0003868471953578,0.0003563156957063,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,4.4347864650317085e-05,0.1538461538461538,0.0,1,0.1333333333333333,0.0248929026282273,0,0,0.0
204,0.0163178432068109,0.3333333333333333,0.0,1,0,0,0,0,0,0.127906976744186,0.2355070902116288,0.0202771206488678,0.0845154572301599,0.0003143978897,0.0001388269125886,0.0069352708058124,0.006963249516441,0.0069481560662747,0.0,0.0,0.0144752714113389,0.002596093361209,0.9952506601515604,0.0,0.0045234821943323,0.2307692307692307,0.0,1,0.1666666666666666,0.0068310756049554,0,1,38.59555555555556
210,0.0053210358283079,0.3333333333333333,0.0,0,0,0,0,0,0,0.1744186046511627,0.2071031421059437,0.0020277120648867,0.0947235451767637,5.3677688485369e-05,6.941345629431305e-05,0.0009907529722589,0.0015473887814313,0.0012471049349723,0.0,0.0,0.0072376357056694,0.0026178923588376,0.9951895441345318,0.0,0.0011086966162579,0.4615384615384615,0.0,1,0.5,0.1113426729960248,0,1,14.546111111111111
212,0.0007094714437743,0.3333333333333333,0.0,0,0,0,0,0,0,0.2906976744186046,0.2601611999482781,0.0016897600540723,0.1022686536590362,0.0001533648242439,0.0001983241608408,0.0049537648612945,0.0058027079303675,0.0053447354355959,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,0.0017295667213623,0.3076923076923077,0.0,1,0.1333333333333333,0.026668210412566,1,1,1.3038888888888889
215,0.0007094714437743,0.3333333333333333,0.0,0,1,0,0,0,0,0.2732558139534883,0.2516701866298866,0.0377661372085163,0.1214216213448046,0.0003834120606097,0.0,0.0006605019815059,0.0,0.0003563156957063,0.0,0.0,0.0012062726176115,0.0048631891145817,0.9950632530462932,0.0,0.0021730453678655,0.0769230769230769,0.0,1,0.0333333333333333,0.002045463316738,0,0,0.0
