run,random_state,MAE,MSE,RMSE,R2
1,42,244.10398864746094,2199707.5,1483.1410924116424,-2.6544554233551025
2,43,241.21131896972656,2840605.75,1685.4096683002622,-3.719202995300293
3,44,212.82371520996094,839343.5625,916.156952983494,-0.39443254470825195
4,45,227.972412109375,1366356.5,1168.912528806155,-1.2699785232543945
5,46,223.3616180419922,1180275.625,1086.4049084020194,-0.960835337638855
