run,random_state,MAE,MSE,RMSE,R2
1,42,235.9947052001953,2374464.75,1540.9298329255619,-2.9447858333587646
2,43,240.7803497314453,1406622.25,1186.0110665588243,-1.3368735313415527
3,44,193.8043212890625,563936.4375,750.9570144156055,0.06311154365539551
4,45,257.8876647949219,5999755.0,2449.4397318570627,-8.96761417388916
5,46,192.857177734375,589097.75,767.5270353544557,0.021310150623321533
